"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Rwanda","1","0","1","0","0","1","11","14","32","57","0","33","1,005","19","1,115"
"Saint Helena, Ascension and Tristan da Cunha","28","0","28","13","0","41","46","57","39","142","0","17","607","54","848"
"Sao Tome and Principe","0","0","0","0","0","0","9","19","31","59","0","17","739","98","913"
"Senegal","0","1","1","0","0","1","19","34","76","129","0","63","1,860","157","2,210"
"Seychelles","20","0","20","29","0","49","87","156","148","391","2","125","1,620","115","2,273"
"Sierra Leone","0","0","0","0","0","0","19","41","66","126","0","75","1,835","147","2,183"
"Somalia","0","0","0","1","0","1","15","27","107","149","0","144","2,292","190","2,775"
"South Africa","6","0","6","6","0","12","78","166","215","459","2","188","3,558","352","4,565"
"South Sudan","0","0","0","0","0","0","6","13","24","43","0","21","1,097","21","1,182"
"Sudan","0","1","1","0","0","1","18","23","100","141","0","132","2,145","136","2,555"
"Tanzania, United Republic of","2","1","3","61","1","65","128","151","260","539","0","222","3,896","353","5,013"
"Togo","0","0","0","2","0","2","18","15","48","81","0","48","1,752","106","1,987"
"Uganda","0","0","0","28","0","28","49","36","75","160","0","59","1,800","125","2,144"
"Zambia","0","0","0","0","0","0","10","23","43","76","0","41","1,763","71","1,951"
"Zimbabwe","0","0","0","1","0","1","9","13","29","51","0","33","1,304","26","1,414"
"Afghanistan","0","0","0","0","0","0","4","8","24","36","0","27","577","21","661"
"Armenia","0","0","0","0","0","0","7","8","26","41","0","38","463","18","560"
"Azerbaijan","0","1","1","2","0","3","13","10","31","54","0","41","563","43","702"
"Bahrain","0","0","0","0","0","0","10","9","29","48","0","53","642","31","774"
"Cyprus","0","0","0","1","0","1","10","19","33","62","0","37","652","67","818"
"Georgia","0","0","0","0","0","0","7","10","39","56","0","47","592","24","719"
"Iran, Islamic Republic of","0","1","1","1","0","2","23","36","91","150","0","100","1,685","163","2,099"
"Iraq","0","0","0","1","0","1","12","14","51","77","0","70","932","48","1,127"
"Israel","4","0","4","0","0","4","23","43","120","186","0","136","1,592","155","2,073"
"Jordan","0","0","0","0","0","0","4","26","88","118","0","118","1,251","97","1,584"
"Kazakhstan","0","1","1","2","0","3","15","13","39","67","0","38","702","61","869"
"Kuwait","1","0","1","0","0","1","8","12","38","58","0","55","751","35","900"
"Kyrgyzstan","0","0","0","0","0","0","1","7","22","30","0","24","428","13","495"
"Lebanon","0","0","0","0","0","0","9","25","47","81","0","40","715","69","905"
"Oman","0","0","0","1","0","1","12","30","66","108","0","92","1,578","130","1,908"
"Pakistan","0","0","0","1","0","1","20","40","84","144","0","99","1,652","100","1,995"
"Palestine, State of","0","0","0","0","0","0","4","11","17","32","0","22","364","21","439"
"Qatar","0","0","0","0","0","0","11","9","33","53","0","54","666","25","798"
"Saudi Arabia","1","0","1","0","0","1","13","30","102","145","2","141","1,599","153","2,041"
"Syrian Arab Republic","1","0","1","6","0","7","18","34","65","117","0","52","850","90","1,110"
"Tajikistan","0","0","0","1","0","1","3","7","25","35","0","21","434","25","515"
"Turkey","4","0","4","12","0","16","69","105","123","297","0","106","1,285","197","1,889"
"Turkmenistan","0","1","1","1","0","2","11","12","31","54","0","29","552","41","677"
"United Arab Emirates","0","0","0","0","0","0","10","21","41","72","0","58","1,071","58","1,259"
"Uzbekistan","0","0","0","2","0","2","9","8","29","46","0","28","477","22","573"
"Yemen","2","0","2","1","0","3","11","30","114","155","0","154","1,906","187","2,404"
