Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Iraq,0,0,0,0,0,0,0,3,1,4,0,5,246,16,271
Israel,0,0,0,0,0,0,3,17,7,27,0,9,273,10,319
Jordan,0,0,0,0,0,0,0,5,3,8,0,4,188,7,207
Kazakhstan,0,0,0,0,0,0,5,6,3,14,0,2,300,26,342
Kuwait,0,0,0,0,0,0,0,0,0,0,0,1,26,0,27
Kyrgyzstan,0,0,0,0,0,0,6,5,2,13,0,2,185,20,220
Lebanon,0,0,0,0,0,0,3,18,8,29,0,10,304,19,362
Oman,0,0,0,0,0,0,0,1,5,6,0,5,140,1,152
Pakistan,0,0,0,0,0,0,4,4,5,13,0,5,440,20,478
"Palestine, State of",0,0,0,0,0,0,1,6,3,10,0,6,215,5,236
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
Saudi Arabia,0,0,0,0,0,0,0,3,1,4,0,0,248,0,252
Syrian Arab Republic,0,0,0,0,0,0,5,18,9,32,0,13,296,29,370
Tajikistan,0,0,0,0,0,0,6,3,3,12,0,2,184,19,217
Turkey,0,0,0,0,0,0,67,41,22,130,0,31,644,71,876
Turkmenistan,0,0,0,0,0,0,0,2,2,4,0,3,177,11,195
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49
Uzbekistan,0,0,0,0,0,0,4,8,4,16,0,1,192,16,225
Yemen,3,0,3,0,0,3,6,28,129,163,0,23,409,32,630
